,high,pre_settle,oi,wind_code,volume,amount,settle,low,trade_date,close,open,change,bopu_symbol,local_symbol,pre_close
2015/4/16,3288.2,3058.8,28848.0,IH1505.CFE,144423.0,137729000000.0,3223.6,3088.8,20150416,3283.8,3100.0,225.0,IH1505|FU|CFFEX,IH1505,0.0
2015/4/17,3341.6,3223.6,37853.0,IH1505.CFE,271224.0,267552000000.0,3280.8,3238.0,20150417,3254.0,3303.6,30.4,IH1505|FU|CFFEX,IH1505,3283.8
2015/4/20,3315.0,3280.8,37975.0,IH1505.CFE,267213.0,260529000000.0,3176.8,3143.6,20150420,3146.8,3258.0,-134.0,IH1505|FU|CFFEX,IH1505,3254.0
2015/4/21,3242.2,3176.8,37771.0,IH1505.CFE,239311.0,229320000000.0,3211.2,3153.0,20150421,3234.0,3176.8,57.2,IH1505|FU|CFFEX,IH1505,3146.8
2015/4/22,3333.2,3211.2,42623.0,IH1505.CFE,239676.0,235476000000.0,3309.6,3229.8,20150422,3308.0,3250.0,96.8,IH1505|FU|CFFEX,IH1505,3234.0
2015/4/23,3348.2,3309.6,39573.0,IH1505.CFE,246929.0,244348000000.0,3273.2,3253.4,20150423,3267.8,3318.6,-41.8,IH1505|FU|CFFEX,IH1505,3308.0
2015/4/24,3267.8,3273.2,36034.0,IH1505.CFE,224297.0,217010000000.0,3236.6,3170.0,20150424,3233.0,3248.8,-40.2,IH1505|FU|CFFEX,IH1505,3267.8
2015/4/27,3358.0,3236.6,45698.0,IH1505.CFE,259172.0,256955000000.0,3326.4,3257.8,20150427,3357.6,3260.0,121.0,IH1505|FU|CFFEX,IH1505,3233.0
2015/4/28,3376.0,3326.4,36374.0,IH1505.CFE,329692.0,327775000000.0,3287.0,3265.0,20150428,3286.8,3339.0,-39.6,IH1505|FU|CFFEX,IH1505,3357.6
2015/4/29,3325.6,3287.0,39968.0,IH1505.CFE,242567.0,239787000000.0,3301.6,3261.0,20150429,3295.2,3282.0,8.2,IH1505|FU|CFFEX,IH1505,3286.8
2015/4/30,3331.2,3301.6,41181.0,IH1505.CFE,202408.0,200023000000.0,3275.4,3247.2,20150430,3269.4,3315.2,-32.2,IH1505|FU|CFFEX,IH1505,3295.2
2015/5/4,3301.8,3275.4,40335.0,IH1505.CFE,189061.0,185146000000.0,3269.4,3225.8,20150504,3273.2,3295.8,-2.2,IH1505|FU|CFFEX,IH1505,3269.4
2015/5/5,3281.6,3269.4,38274.0,IH1505.CFE,217674.0,210023000000.0,3165.8,3141.2,20150505,3163.0,3279.6,-106.4,IH1505|FU|CFFEX,IH1505,3273.2
2015/5/6,3257.4,3165.8,36206.0,IH1505.CFE,261933.0,251113000000.0,3149.0,3116.0,20150506,3153.0,3171.2,-12.8,IH1505|FU|CFFEX,IH1505,3163.0
2015/5/7,3170.0,3149.0,40498.0,IH1505.CFE,234619.0,220962000000.0,3128.4,3103.0,20150507,3111.2,3159.6,-37.8,IH1505|FU|CFFEX,IH1505,3153.0
2015/5/8,3149.0,3128.4,37887.0,IH1505.CFE,215483.0,200659000000.0,3099.2,3051.2,20150508,3099.8,3131.0,-28.6,IH1505|FU|CFFEX,IH1505,3111.2
2015/5/11,3170.4,3099.2,30050.0,IH1505.CFE,201465.0,188935000000.0,3160.8,3078.0,20150511,3160.0,3112.0,60.8,IH1505|FU|CFFEX,IH1505,3099.8
2015/5/12,3194.6,3160.8,23176.0,IH1505.CFE,189729.0,180330000000.0,3173.4,3138.0,20150512,3175.0,3151.0,14.2,IH1505|FU|CFFEX,IH1505,3160.0
2015/5/13,3204.8,3173.4,17535.0,IH1505.CFE,165986.0,157229000000.0,3129.4,3112.4,20150513,3125.4,3200.0,-48.0,IH1505|FU|CFFEX,IH1505,3175.0
2015/5/14,3165.0,3112.6,24276.0,IH1506.CFE,130846.0,122679000000.0,3111.6,3095.6,20150514,3113.4,3148.0,0.8,IH1506|FU|CFFEX,IH1506,3112.4
2015/5/15,3129.8,3111.6,29113.0,IH1506.CFE,202862.0,187139000000.0,3077.6,3021.0,20150515,3041.4,3115.2,-70.2,IH1506|FU|CFFEX,IH1506,3113.4
2015/5/18,3049.0,3077.6,30409.0,IH1506.CFE,177652.0,160676000000.0,2983.0,2962.0,20150518,2969.4,3033.6,-108.2,IH1506|FU|CFFEX,IH1506,3041.4
2015/5/19,3145.6,2983.0,32724.0,IH1506.CFE,295536.0,273279000000.0,3113.4,2971.2,20150519,3143.0,2973.4,160.0,IH1506|FU|CFFEX,IH1506,2969.4
2015/5/20,3217.0,3113.4,41966.0,IH1506.CFE,288447.0,273042000000.0,3157.0,3102.2,20150520,3145.2,3163.0,31.8,IH1506|FU|CFFEX,IH1506,3143.0
2015/5/21,3200.2,3157.0,44675.0,IH1506.CFE,259112.0,246253000000.0,3175.4,3139.8,20150521,3191.4,3157.0,34.4,IH1506|FU|CFFEX,IH1506,3145.2
2015/5/22,3310.0,3175.4,49710.0,IH1506.CFE,323497.0,316097000000.0,3274.6,3194.0,20150522,3303.0,3200.0,127.6,IH1506|FU|CFFEX,IH1506,3191.4
