,ts_code,exchange,name,per_unit,opt_type,call_put,exercise_type,exercise_price,maturity_date,list_date,delist_date
0,10000579.SH,SSE,华夏上证50ETF期权1604认购2.15,10000.0,ETF期权,C,欧式,2.15,20160427,20160225,20160427
1,10000108.SH,SSE,华夏上证50ETF期权1505认购2.65,10000.0,ETF期权,C,欧式,2.65,20150527,20150326,20150527
2,10000111.SH,SSE,华夏上证50ETF期权1505认沽2.55,10000.0,ETF期权,P,欧式,2.55,20150527,20150326,20150527
3,10001067.SH,SSE,华夏上证50ETF期权1712认购3.24 ,10185.0,ETF期权,C,欧式,3.24,20171227,20171123,20171227
4,10001068.SH,SSE,华夏上证50ETF期权1712认沽3.24 ,10185.0,ETF期权,P,欧式,3.24,20171227,20171123,20171227
5,10001069.SH,SSE,华夏上证50ETF期权1803认购3.24 ,10185.0,ETF期权,C,欧式,3.24,20180328,20171123,20180328
6,10001070.SH,SSE,华夏上证50ETF期权1803认沽3.24 ,10185.0,ETF期权,P,欧式,3.24,20180328,20171123,20180328
7,10001071.SH,SSE,华夏上证50ETF期权1806认购3.24 ,10185.0,ETF期权,C,欧式,3.24,20180627,20171123,20180627
8,10001072.SH,SSE,华夏上证50ETF期权1806认沽3.24 ,10185.0,ETF期权,P,欧式,3.24,20180627,20171123,20180627
9,10001073.SH,SSE,华夏上证50ETF期权1801认购2.896,10185.0,ETF期权,C,欧式,2.896,20180124,20171123,20180124
10,10001074.SH,SSE,华夏上证50ETF期权1801认购2.946,10185.0,ETF期权,C,欧式,2.946,20180124,20171123,20180124
11,10001075.SH,SSE,华夏上证50ETF期权1801认购3.044,10185.0,ETF期权,C,欧式,3.044,20180124,20171123,20180124
12,10001076.SH,SSE,华夏上证50ETF期权1801认购3.142,10185.0,ETF期权,C,欧式,3.142,20180124,20171123,20180124
13,10001077.SH,SSE,华夏上证50ETF期权1801认购3.24 ,10185.0,ETF期权,C,欧式,3.24,20180124,20171123,20180124
14,10001078.SH,SSE,华夏上证50ETF期权1801认沽2.896,10185.0,ETF期权,P,欧式,2.896,20180124,20171123,20180124
15,10001079.SH,SSE,华夏上证50ETF期权1801认沽2.946,10185.0,ETF期权,P,欧式,2.946,20180124,20171123,20180124
16,10001080.SH,SSE,华夏上证50ETF期权1801认沽3.044,10185.0,ETF期权,P,欧式,3.044,20180124,20171123,20180124
17,10001081.SH,SSE,华夏上证50ETF期权1801认沽3.142,10185.0,ETF期权,P,欧式,3.142,20180124,20171123,20180124
18,10001082.SH,SSE,华夏上证50ETF期权1801认沽3.24 ,10185.0,ETF期权,P,欧式,3.24,20180124,20171123,20180124
19,10000030.SH,SSE,华夏上证50ETF期权1506认沽2.40,10000.0,ETF期权,P,欧式,2.4,20150624,20150209,20150624
20,10000771.SH,SSE,华夏上证50ETF期权1612认购2.50,10000.0,ETF期权,C,欧式,2.5,20161228,20161129,20161228
21,10000301.SH,SSE,华夏上证50ETF期权1508认沽2.40,10000.0,ETF期权,P,欧式,2.4,20150826,20150728,20150826
22,10000303.SH,SSE,华夏上证50ETF期权1512认购2.40,10000.0,ETF期权,C,欧式,2.4,20151223,20150728,20151223
23,10001021.SH,SSE,华夏上证50ETF期权1711认购2.85,10000.0,ETF期权,C,欧式,2.85,20171122,20171009,20171122
24,10001022.SH,SSE,华夏上证50ETF期权1711认沽2.85,10000.0,ETF期权,P,欧式,2.85,20171122,20171009,20171122
25,10000027.SH,SSE,华夏上证50ETF期权1506认沽2.25,10000.0,ETF期权,P,欧式,2.25,20150624,20150209,20150624
26,10000794.SH,SSE,华夏上证50ETF期权1703认沽2.40,10000.0,ETF期权,P,欧式,2.4,20170322,20161129,20170322
27,10000495.SH,SSE,华夏上证50ETF期权1601认购2.60,10000.0,ETF期权,C,欧式,2.6,20160127,20151222,20160127
28,10000095.SH,SSE,华夏上证50ETF期权1509认购2.75,10000.0,ETF期权,C,欧式,2.75,20150923,20150323,20150923
29,10000492.SH,SSE,华夏上证50ETF期权1601认沽2.20,10000.0,ETF期权,P,欧式,2.2,20160127,20151130,20160127
30,10000677.SH,SSE,华夏上证50ETF期权1703认沽2.104,10220.0,ETF期权,P,欧式,2.104,20170322,20160728,20170322
31,10000294.SH,SSE,华夏上证50ETF期权1603认沽2.75,10000.0,ETF期权,P,欧式,2.75,20160323,20150723,20160323
32,10000128.SH,SSE,华夏上证50ETF期权1504认购2.95,10000.0,ETF期权,C,欧式,2.95,20150422,20150408,20150422
33,10000591.SH,SSE,华夏上证50ETF期权1609认购2.20,10000.0,ETF期权,C,欧式,2.2,20160928,20160307,20160928
34,10000682.SH,SSE,华夏上证50ETF期权1703认沽2.299,10220.0,ETF期权,P,欧式,2.299,20170322,20160815,20170322
35,10000511.SH,SSE,华夏上证50ETF期权1602认购2.20,10000.0,ETF期权,C,欧式,2.2,20160224,20160105,20160224
36,10000711.SH,SSE,华夏上证50ETF期权1610认购2.10,10000.0,ETF期权,C,欧式,2.1,20161026,20160927,20161026
37,10001443.SH,SSE,华夏上证50ETF期权1810认购2.30,10000.0,ETF期权,C,欧式,2.3,20181024,20180823,20181024
38,10001444.SH,SSE,华夏上证50ETF期权1810认购2.35,10000.0,ETF期权,C,欧式,2.35,20181024,20180823,20181024
39,10001445.SH,SSE,华夏上证50ETF期权1810认购2.40,10000.0,ETF期权,C,欧式,2.4,20181024,20180823,20181024
40,10001446.SH,SSE,华夏上证50ETF期权1810认购2.45,10000.0,ETF期权,C,欧式,2.45,20181024,20180823,20181024
41,10001447.SH,SSE,华夏上证50ETF期权1810认购2.50,10000.0,ETF期权,C,欧式,2.5,20181024,20180823,20181024
42,10001448.SH,SSE,华夏上证50ETF期权1810认购2.55,10000.0,ETF期权,C,欧式,2.55,20181024,20180823,20181024
43,10001449.SH,SSE,华夏上证50ETF期权1810认购2.60,10000.0,ETF期权,C,欧式,2.6,20181024,20180823,20181024
44,10001450.SH,SSE,华夏上证50ETF期权1810认购2.65,10000.0,ETF期权,C,欧式,2.65,20181024,20180823,20181024
45,10001451.SH,SSE,华夏上证50ETF期权1810认购2.70,10000.0,ETF期权,C,欧式,2.7,20181024,20180823,20181024
46,10001452.SH,SSE,华夏上证50ETF期权1810认沽2.30,10000.0,ETF期权,P,欧式,2.3,20181024,20180823,20181024
47,10001453.SH,SSE,华夏上证50ETF期权1810认沽2.35,10000.0,ETF期权,P,欧式,2.35,20181024,20180823,20181024
48,10001454.SH,SSE,华夏上证50ETF期权1810认沽2.40,10000.0,ETF期权,P,欧式,2.4,20181024,20180823,20181024
49,10001455.SH,SSE,华夏上证50ETF期权1810认沽2.45,10000.0,ETF期权,P,欧式,2.45,20181024,20180823,20181024
50,10001456.SH,SSE,华夏上证50ETF期权1810认沽2.50,10000.0,ETF期权,P,欧式,2.5,20181024,20180823,20181024
51,10001457.SH,SSE,华夏上证50ETF期权1810认沽2.55,10000.0,ETF期权,P,欧式,2.55,20181024,20180823,20181024
52,10001458.SH,SSE,华夏上证50ETF期权1810认沽2.60,10000.0,ETF期权,P,欧式,2.6,20181024,20180823,20181024
53,10001459.SH,SSE,华夏上证50ETF期权1810认沽2.65,10000.0,ETF期权,P,欧式,2.65,20181024,20180823,20181024
54,10001460.SH,SSE,华夏上证50ETF期权1810认沽2.70,10000.0,ETF期权,P,欧式,2.7,20181024,20180823,20181024
55,10000770.SH,SSE,华夏上证50ETF期权1612认购2.45,10000.0,ETF期权,C,欧式,2.45,20161228,20161129,20161228
56,10000587.SH,SSE,华夏上证50ETF期权1604认沽1.85,10000.0,ETF期权,P,欧式,1.85,20160427,20160226,20160427
57,10000335.SH,SSE,华夏上证50ETF期权1508认购2.15,10000.0,ETF期权,C,欧式,2.15,20150826,20150824,20150826
58,10001461.SH,SSE,华夏上证50ETF期权1810认购2.75,10000.0,ETF期权,C,欧式,2.75,20181024,20180828,20181024
59,10001462.SH,SSE,华夏上证50ETF期权1810认沽2.75,10000.0,ETF期权,P,欧式,2.75,20181024,20180828,20181024
60,10000153.SH,SSE,华夏上证50ETF期权1505认购3.10,10000.0,ETF期权,C,欧式,3.1,20150527,20150413,20150527
61,10000064.SH,SSE,华夏上证50ETF期权1509认沽2.55,10000.0,ETF期权,P,欧式,2.55,20150923,20150227,20150923
62,10000901.SH,SSE,华夏上证50ETF期权1707认购2.30,10000.0,ETF期权,C,欧式,2.3,20170726,20170525,20170726
63,10000902.SH,SSE,华夏上证50ETF期权1707认购2.35,10000.0,ETF期权,C,欧式,2.35,20170726,20170525,20170726
64,10000903.SH,SSE,华夏上证50ETF期权1707认购2.40,10000.0,ETF期权,C,欧式,2.4,20170726,20170525,20170726
65,10000904.SH,SSE,华夏上证50ETF期权1707认购2.45,10000.0,ETF期权,C,欧式,2.45,20170726,20170525,20170726
